time,contents
['2018-05-28 08:57:43'],"['东西非常垃圾', '耳机带在耳朵上老容易掉下来', '说送给我的赠品也没有发给我', '谁买坑谁']"
['2018-12-16 20:01:15'],"['什么啊', '有些功能完全没发挥到作用', '虚', '太虚了']"
['2018-09-23 13:35:17'],"['垃圾', '根本待戴不住', '不如', '元的蓝牙耳机']"
['2018-04-08 11:32:39'],"['送给我哥的', '但是', '相当于买了个', '块钱的电子手表', '华为这个玩意真的很垃圾']"
['2017-11-21 21:24:17'],"['为什么苹果', '手机连接不了', '是你家的产品太差了吗', '买了这么贵', '试了几次都用不了']"
['2019-03-25 20:05:31'],"['蓝牙耳机太差劲', '杂音太大', '打电话都听不清楚']"
['2018-03-24 18:08:57'],"['真心的一个星都不想给', '但不给星评论不了', '还未收到货', '但系统中显示已收货', '暂不发表其他评论']"
['2017-11-23 10:56:28'],"['严重掉色', '多元一个耳机', '就这样']"
['2019-04-22 19:16:11'],"['购买的华为手环', '青春版', '连接蓝牙一直掉', '完全不能使用']"
['2019-01-12 23:00:13'],"['不得不说很气人', '买的时候', '才两天就掉到', '逗我玩的吧']"
['2018-07-15 23:16:44'],"['表带不好', '充电器不给', '客服不回', '很过分', '块的东西就这态度']"
['2019-05-13 18:44:03'],"['表带长了去调整师傅说这个表带调过螺丝都圆了', '可这是我新买的啊无语']"
['2019-03-17 16:09:12'],"['真是', '啊', '刚买了', '转天就便宜', '元', '特别不开心的一次购物']"
['2019-06-21 17:32:39'],"['心心念念的东西', '到手以后用了不到一天', '居然没用了', '无语啊']"
[],"['充电口插不进去', '我想知道大家也是这样吗']"
[],['客服还不能解决问题']
[],['第一次在京东买东西']
['2019-06-06 12:33:45'],['伤心']
['2019-01-08 13:38:55'],"['没有想像中的好', '其中出现了一点问题多次和客服联系', '服务一点都不好', '对华为客服失望的很']"
['2019-08-11 22:12:51'],"['少配件', '少给备用表带', '其他店铺都给', '觉得被骗了']"
['2018-04-19 22:06:39'],"['刚买完就降了', '反映给客服', '客服让申请保价', '我输进去单号却查不到', '算了', '不退了']"
['2018-10-29 17:52:41'],"['昨天刚买的', '找手机功能不能用', '并且没有送表链和贴膜', '联系客服一天了没人说话', '失败的购物']"
['2017-11-01 01:11:13'],"['号秒杀', '才两天你就变成', '了', '京东啊京东', '太离谱了吧']"
['2018-08-09 08:01:38'],"['垃圾东西买回来就充不进去电', '京东的售后都是', '退换货拖拖拉拉', '京东真是做大了']"
['2017-11-16 07:06:11'],"['对华为很失望', '睡眠监测一点都不准', '明明醒着却显示深睡也是够了', '也不能自动识别运动状态']"
['2019-03-31 17:21:00'],"['差差差', '特别差', '东西买完客服不服务', '有问题不解决']"
['2017-11-25 20:45:17'],"['都不知道这个厂家是怎么设计的', '如何才能够挂在耳朵', '太不负责任了', '客服也很吊', '要理不理', '要拍的谨慎', '差评']"
['2017-10-03 19:40:53'],"['京东', '超级', '一共买了两个', '收货第二天就掉价了', '找客服', '还不给返差价', '京东太', '客服更', '找各种理由不给返钱', '大', '京东']"
['2017-09-30 22:44:06'],"['差评', '苹果手机看不到微信内容', '不说在介绍说清楚了', '短信内容也看不了']"
['2018-09-14 13:20:49'],"['第一天没有用', '今天拿出来刚连接上正打算试一试就发现有一道裂痕', '差评']"
['2018-05-11 09:40:18'],"['才用了不到到一个月', '计步器第二天不清零', '售后服务太差', '蓝牙耳机音质不好', '很失望的一次购物']"
