brand,p_name,sku_id,weight,local,control,inch,connect,communicate,materal,IPXX,xuhang,display,funy,severce,is_bluetooth_talk,people,function
华为（HUAWEI）,['华为'],['45549447082'],['50.00'],[],[],[],[],[],['橡胶'],['生活防水'],['4-7'],['其他'],['5种以下'],['一年质保'],[],['儿童'],['自定义表盘']
瑞德罗曼,['瑞德罗曼F120'],['54822332423'],['100.00'],[],[],[],[],[],['硅胶'],['生活防水'],['3'],['彩色触屏'],['5'],[],[],['男士'],[]
博之轮（BOZLUN）,['博之轮'],['56336231418'],['200.00'],[],['全屏触控'],['1.2'],['支持蓝牙'],['来电提醒'],['TPU'],['50米防水'],['7-10'],['彩屏'],['跑步'],['30天无忧退'],['不支持蓝牙通话'],['男士'],['消息提醒']
dido,['didoR2'],['100001956174'],['240.00'],['中国大陆'],['单点触控'],['1.2'],['支持蓝牙'],['来电提醒'],['TPU'],['30米防水'],['7-10'],['彩屏'],['跑步'],['30天无忧退'],['不支持蓝牙通话'],['男士'],['消息提醒']
小米（MI）,['小米'],['29129227675'],['100.00'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
佳明（GARMIN）,['佳明010'],['6816149'],['120.00'],['中国台湾'],[],[],[],[],[],[],[],[],[],[],[],['成人'],[]
小米（MI）,['小米'],['26833007722'],['0.8'],[],[],[],[],[],['硅胶'],['生活防水'],['4-7'],['其他'],['无'],[],[],['儿童'],[]
ADZ,['ADZAX1'],['53986410702'],['100.00'],[],['单点触控'],['1.0-1.2'],['支持蓝牙'],['来电提醒'],['硅胶'],['生活防水'],['7-10'],['彩屏'],['跑步'],[],['不支持蓝牙通话'],['男士'],['消息提醒']
小米（MI）,['小米'],['50253265500'],['65.00'],[],['单点触控'],['0.8-1.0'],['支持蓝牙'],['来电提醒'],['TPU'],['生活防水'],['7-10'],['彩屏'],['无'],[],['不支持蓝牙通话'],['通用'],['消息提醒']
dido,['didoF5'],['100004692008'],['180.00'],['中国大陆'],['单点触控'],['0.8-1.0'],['支持蓝牙'],['免持接听'],['硅胶'],['生活防水'],['7'],['彩屏'],['跑步'],['一年质保'],['支持蓝牙通话'],['通用'],['消息提醒']
真匠,['真匠'],['18439784576'],['28.00'],['中国大陆'],[],[],[],[],['皮革'],['生活防水'],['4-7'],['彩色触屏'],[],['一年质保'],[],[],[]
华为（HUAWEI）,['华为'],['21878305925'],['200.00'],['中国大陆'],[],[],[],[],['其他'],['生活防水'],['3'],['彩色触屏'],[],[],[],['男士'],[]
邦克凡,['邦克凡'],['38692094013'],['120.00'],['中国大陆'],[],[],[],[],[],[],[],[],[],[],[],[],[]
库宾（KUBIN）,['库宾'],['48566938953'],['240.00'],['中国大陆'],[],[],[],[],['TPU'],['生活防水'],['16-30'],['彩色触屏'],['5'],['30天无忧退'],[],['通用'],[]
纽曼（Newmine）,['纽曼纽曼'],['4590832'],['190.00'],['中国大陆'],['非触控屏'],['1.2'],['支持蓝牙'],['来电提醒'],['TPU'],['生活防水'],['7-10'],['黑白屏'],['跑步'],[],['不支持蓝牙通话'],['男士'],['消息提醒']
华为（HUAWEI）,['华为'],['55601751355'],['300.00'],[],['单点触控'],['0.8-1.0'],['支持蓝牙'],['来电提醒'],['硅胶'],['50米防水'],['14-16'],['彩屏'],['跑步'],[],['不支持蓝牙通话'],['通用'],['消息提醒']
华为（HUAWEI）,[],['45170147489'],['46.00'],[],[],[],[],[],['硅胶'],['50米防水'],['8-15'],['彩色触屏'],[],['一年质保'],[],['通用'],[]
文明,['小米3手环腕带'],['29637262906'],['1.0'],[],['单点触控'],['1.0-1.2'],[],[],[],['生活防水'],[],['其他'],['跑步'],[],[],['通用'],['久坐提醒']
小米（MI）,['小米'],['49868312770'],['400.00'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
华为（HUAWEI）,['华为'],['47364833070'],['500.00'],[],[],[],[],[],['硅胶'],['50米防水'],['8-15'],['彩色触屏'],[],['一年质保'],[],['男士'],[]
小米（MI）,['小米'],['28768456078'],['210.00'],[],['全屏触控'],['0.8-1.0'],['支持蓝牙'],['来电提醒'],['硅胶'],['50米防水'],['14-16'],['彩屏'],['跑步'],[],['不支持蓝牙通话'],['男士'],['消息提醒']
华为（HUAWEI）,['华为'],['10388273102'],['50.00'],[],['全屏触控'],['0.8-1.0'],['支持蓝牙'],['来电提醒'],['硅胶'],['50米以上防水'],['14-16'],['彩屏'],['跑步'],['一年质保'],['不支持蓝牙通话'],['男士'],['消息提醒']
希比希,['希比希电话手表'],['52273899517'],['50.00'],['中国大陆'],[],[],[],[],['硅胶'],['30米防水'],['4-7'],['彩色触屏'],[],['一年质保'],[],['儿童'],[]
传谷（TRANGU）,['青少年智能电话手表手机4g全网通可视频通话高初中学生通用小米华为苹果成人防水防摔多功能gps定位手环'],['55954713571'],['1.0'],[],[],[],[],[],['硅胶'],['生活防水'],['4-7'],['彩色触屏'],['5种以下'],[],[],['儿童'],[]
华为（HUAWEI）,['华为'],['51357730995'],['0.8'],['中国大陆'],[],[],[],[],['其他'],['50米防水'],['8-15'],['彩色触屏'],[],['一年质保'],[],['通用'],[]
DMDG,['DMDG'],['41802772419'],['220.00'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Fitbit,['Fitbitcharge3'],['37457487920'],['500.00'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
amazfit,['amazfit华米手表2代'],['44019431408'],['300.00'],['中国大陆'],[],[],[],[],['硅胶'],['50米防水'],['4-7'],['彩色触屏'],['10'],['一年质保'],[],['男士'],[]
华为（HUAWEI）,['华为'],['51064132773'],['0.8'],['中国大陆'],[],[],[],[],['其他'],['50米防水'],['8-15'],['彩色触屏'],[],['一年质保'],[],['通用'],[]
卡丝拉狄（cathyladi）,['卡丝拉狄'],['53580572546'],['100.00'],[],[],[],[],[],['皮革'],['生活防水'],['4-7'],['彩色触屏'],['5种以下'],['一年质保'],[],['女士'],[]
普利邦（PULEEBUMG）,['普利邦'],['41252365327'],['50.00'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
华为（HUAWEI）,['华为'],['37342791201'],['300.00'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
华为（HUAWEI）,['华为'],['30537649841'],['200.00'],[],['非触控屏'],['0.8-1.0'],[],[],['TPU'],['生活防水'],['7'],['黑白屏'],['跑步'],[],[],['男士'],['运动计步']
仕博达（SPORTSTAR）,['GOBE2'],['12314513284'],['46.00'],['中国大陆'],[],[],[],[],[],[],[],[],[],[],[],['成人'],[]
AMAZFIT,['AMAZFIT月霜'],['1968013'],['170.00'],['中国大陆'],['非触控屏'],['0.8-1.0'],[],[],['皮革'],['生活防水'],['7-15'],['其他'],['跑步'],[],['不支持'],['男士'],['消息提醒']
小米（MI）,['小米'],['16954686474'],['0.8'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
乐心（lifesense）,['乐心ziva运动版'],['4155352'],['170.00'],['中国大陆'],['单点触控'],['0.8-1.0'],['支持蓝牙'],['来电提醒'],['TPU'],['30米防水'],['24'],['黑白屏'],['跑步'],['一年质保'],['不支持蓝牙通话'],['男士'],['消息提醒']
